municipio;nota_imputada;var_transf_secretaria;var_perc_transf_secretaria;var_transf_perc_rc2017_secretaria;pop;receitas_correntes_2017
DUMONT;FALSE;2,12668949879928;0,389799793240541;0,0734258095327926;8143;28,96378688
ECHAPORA;FALSE;-2,2694789160294;-0,332524234505155;-0,0902033239501716;6318;25,15959298
ELDORADO;FALSE;-5,02664394891696;-0,552086523343115;-0,114075516577737;14641;44,06417871
ELIAS FAUSTO;FALSE;0,186563170151347;0,0158303046172779;0,00329824169669735;15775;56,5644326
ELISIARIO;FALSE;-0,408827352791568;-0,175301691953235;-0,0237635460895576;3120;17,20397079
EMBAUBA;FALSE;-0,954816249046127;-0,419349783986682;-0,0647659918673075;2423;14,7425558
EMBU-GUACU;FALSE;0,0490948788622383;0,0027811643241091;0,000339233013000102;62769;144,72317546
EMBU DAS ARTES;FALSE;14,2649281358564;0,0875310441366006;0,0241649824300513;240230;590,31402887
EMILIANOPOLIS;FALSE;-1,67348860181001;-0,601011332853644;-0,104596466023791;3020;15,99947556
ENGENHEIRO COELHO;FALSE;-0,354770241567222;-0,0380454187719666;-0,00659145740974139;15721;53,82273138
ESPIRITO SANTO DO PINHAL;FALSE;-2,5608349147762;-0,12324911231418;-0,0238341343358864;41907;107,44400777
ESPIRITO SANTO DO TURVO;FALSE;-0,699673288475788;-0,166833670342962;-0,034592116790021;4244;20,22637969
ESTIVA GERBI;FALSE;0,497949415829992;0,0941871379890655;0,012467176107084;10044;39,94083436
ESTRELA D'OESTE;FALSE;-1,0999991892964;-0,09904426390863;-0,0329405726628208;8208;33,39344463
ESTRELA DO NORTE;FALSE;-1,71299486096091;-0,551720852093448;-0,104692981161262;2658;16,36207931
EUCLIDES DA CUNHA PAULISTA;FALSE;-2,18015466577283;-0,328578769956072;-0,0781574834732716;9585;27,89438156
FARTURA;FALSE;-0,287924228774841;-0,0273926713120408;-0,00590973497088439;15320;48,72032844
FERNANDO PRESTES;FALSE;-0,853784956655021;-0,207428306389984;-0,0381557101490433;5534;22,37633511
FERNANDOPOLIS;FALSE;0,838157425458952;0,0302435471314761;0,00467924981282088;64696;179,12217962
FERNAO;FALSE;-1,02530792330637;-0,567799004175367;-0,0678660062700022;1563;15,10782761
FERRAZ DE VASCONCELOS;FALSE;19,3084572683862;0,466447636905906;0,059652198279606;168306;323,6839182
FLORA RICA;TRUE;-1,74186018335706;-0,692270447222867;-0,13068039740814;1752;13,32916197
FLOREAL;FALSE;-1,3491278440769;-0,427483814704486;-0,0721567185136298;3003;18,69718956
FLORIDA PAULISTA;FALSE;-1,23574112139455;-0,181575179339385;-0,0348337318345927;12848;35,47541582
FLORINEA;TRUE;-1,99596967411152;-0,350554497844631;-0,105437015421086;2829;18,9304455
FRANCA;FALSE;14,5789377274198;0,119423419124657;0,0203963284286649;318640;714,78245599
FRANCISCO MORATO;FALSE;20,5000094449768;0,848582597709196;0,069181691913181;154472;296,32130811
FRANCO DA ROCHA;FALSE;8,33601649668745;0,207896708042223;0,0278529430350387;131604;299,28673915
GABRIEL MONTEIRO;TRUE;-1,14238816580389;-0,428187920328477;-0,0771009284760802;2708;14,8167887
GALIA;FALSE;-1,83021304543433;-0,371368512309208;-0,0787470110607293;7011;23,24168271
GARCA;FALSE;0,268707242882758;0,0141325478325308;0,00192198979452987;43115;139,80680004
GASTAO VIDIGAL;TRUE;-1,63762028483192;-0,523370332150316;-0,0947520914406023;4193;17,2832099
GAVIAO PEIXOTO;FALSE;-1,10271293274315;-0,234583404852659;-0,023989616906137;4419;45,96625853
GENERAL SALGADO;FALSE;-2,30301442194598;-0,257347311857641;-0,0571829883235846;10669;40,2744678
GETULINA;FALSE;-2,96065350855731;-0,382710241622184;-0,095260273663544;10765;31,07962422
GLICERIO;FALSE;-1,03480378107507;-0,217281965293049;-0,0485555025650477;4565;21,31177161
GUAICARA;FALSE;0,186450625193268;0,0299324442409486;0,00548040575301032;10670;34,02131769
GUAIMBE;FALSE;-0,485900865632806;-0,153228431192149;-0,0215332612660726;5425;22,5651312
GUAIRA;FALSE;-2,37017225856708;-0,0451322412124404;-0,0142735187222259;37404;166,05381649
GUAPIACU;FALSE;-0,867126453556251;-0,0675934055221517;-0,0132969396645677;17869;65,21248313
