municipio;simulacao;nota_imputada;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;var_transf_por_hab_abaixo_15anos;pop;receitas_correntes_2018
EMBU-GUACU;sim_25_nota;FALSE;2,85972009087535;0,161999615397726;0,0193855953504063;249,367452936887;62769;147,5177852
EMBU DAS ARTES;sim_25_nota;FALSE;-16,2805338725491;-0,0998990051259706;-0,0245027295064968;-378,606765177532;240230;664,43756269
EMILIANOPOLIS;sim_25_nota;FALSE;4,90757006458478;1,7624889840293;0,289579956688295;12181,5832098473;3020;16,94720215
ENGENHEIRO COELHO;sim_25_nota;FALSE;2,30079904916897;0,2467367695472;0,0374515198464764;842,07107450589;15721;61,43406352
ESPIRITO SANTO DO PINHAL;sim_25_nota;FALSE;5,59845344928608;0,269445099321083;0,0478988434749432;952,190465203306;41907;116,88076461
ESPIRITO SANTO DO TURVO;sim_25_nota;FALSE;10,0431551445774;2,39474117733397;0,434196748146913;13499,3507085704;4244;23,1304246
ESTIVA GERBI;sim_25_nota;FALSE;7,57467379601417;1,4327496395556;0,190856309295717;4903,44033457868;10044;39,68783544
ESTRELA D'OESTE;sim_25_nota;FALSE;12,5278466078364;1,12801114556007;NA;11695,7632286942;8208;NA
ESTRELA DO NORTE;sim_25_nota;FALSE;7,990589285769;2,57360651216447;0,452284432990754;19533,7314248134;2658;17,66717734
EUCLIDES DA CUNHA PAULISTA;sim_25_nota;FALSE;1,50359849785151;0,226612612714205;0,0494940664093597;859,090650752969;9585;30,37936882
FARTURA;sim_25_nota;FALSE;10,9665693898048;1,04334265995561;0,212631660497307;4753,21056496588;15320;51,57543032
FERNANDO PRESTES;sim_25_nota;FALSE;10,1783940144981;2,47285574164828;0,392039006626039;15276,139549439;5534;25,96270739
FERNANDOPOLIS;sim_25_nota;FALSE;2,6904401975596;0,0970801575548368;0,0138131734395067;323,373885102686;64696;194,77350439
FERNAO;sim_25_nota;FALSE;7,67242252567235;4,24886394678497;0,460898495459018;31833,8495911549;1563;16,64666429
FERRAZ DE VASCONCELOS;sim_25_nota;FALSE;-8,24212810718396;-0,199110738120252;-0,0230594948572471;-266,872419681666;168306;357,42882306
FLORA RICA;sim_25_nota;TRUE;1,21915119147726;0,484529325958678;0,0786081832171156;4956,28598442344;1752;15,50921471
